timestamp,eventType,eventId,amount,email,accountId,cardType
"06/08/2026, 22:41:54",com.easytrade.deposit.start,4252b381-13b1-4ef4-9368-07a8b6f3c443,"1.294,00",hailey.jimenez@gmail.com,"47,00",mastercard
"06/08/2026, 22:34:16",com.easytrade.deposit.start,456c0f03-7ae2-4301-9f7b-9fe5609fbebf,"1.085,18",hailey.jimenez@gmail.com,"47,00",mastercard
"06/08/2026, 22:29:18",com.easytrade.withdraw.start,e1133ff7-de45-4a34-96c9-c72ca5442c9a,"500,00",hailey.jimenez@gmail.com,"47,00",mastercard
"06/08/2026, 22:22:46",com.easytrade.deposit.start,b57fe561-09e2-4002-816d-7712898e17b3,"1.030,04",hailey.jimenez@gmail.com,"47,00",mastercard
"06/08/2026, 22:11:48",com.easytrade.deposit.start,a1ff184b-3c35-4da4-8bd2-d9414d14e11d,"699,66",hailey.jimenez@gmail.com,"47,00",mastercard
"06/08/2026, 21:58:37",com.easytrade.deposit.start,a2680354-adc4-4e60-b835-a0b89d586883,"1.085,13",hailey.jimenez@gmail.com,"47,00",mastercard
"06/08/2026, 21:56:49",com.easytrade.deposit.start,bc44a211-9699-4c95-a6cd-714655dd33cf,"1.252,30",hailey.jimenez@gmail.com,"47,00",mastercard
"05/08/2026, 21:56:29",com.easytrade.deposit.start,b645aab3-5b93-4c15-91eb-c05f483bf0de,"1.197,53",hailey.jimenez@gmail.com,"47,00",mastercard
"05/08/2026, 21:34:00",com.easytrade.deposit.start,9938b4d5-1267-4125-a68b-c2e08ba54c90,"699,34",hailey.jimenez@gmail.com,"47,00",mastercard
"05/08/2026, 21:27:04",com.easytrade.deposit.start,e941134b-a1e8-4295-b37c-175c1a8acbbe,"1.191,61",hailey.jimenez@gmail.com,"47,00",mastercard
"05/08/2026, 21:22:36",com.easytrade.deposit.start,59a201f8-f81b-404a-b5c3-d0fc234c03a5,"850,38",hailey.jimenez@gmail.com,"47,00",mastercard
"05/08/2026, 21:19:03",com.easytrade.deposit.start,4b91d07e-5870-44af-938e-180382d32134,"1.358,50",hailey.jimenez@gmail.com,"47,00",mastercard
"05/08/2026, 16:41:03",com.easytrade.withdraw.start,3b8c925f-8394-4976-ac9a-127454807259,"500,00",hailey.jimenez@gmail.com,"47,00",mastercard
"05/08/2026, 16:37:27",com.easytrade.deposit.start,6c8eee97-8aa7-40be-bedc-c0240d899193,"912,09",hailey.jimenez@gmail.com,"47,00",mastercard
"05/08/2026, 16:36:07",com.easytrade.deposit.start,5f739d2a-1d33-4d0d-b2ff-1f761a0bf8d1,"1.435,37",hailey.jimenez@gmail.com,"47,00",mastercard
